percentage_ait_devices_backscatter value_human_life risk_vpi passenger_enplanements passenger_exposure_per_screening risk_nvpi fatalities_mile risk_cancer_per_micro_sv ait_scanner_cost percentage_passengers_driving percentage_ait_screening flight_distance ait_success_rate expected_vpi_fatalities net_cost_ait number_passengers_driving increase_ait_fatalities expected_ait_vpi_fatalities cost_new_driving_fatalities cost_vpi_fatalities expected_cancer_fatalities number_new_driving_fatalities expected_nvpi_fatalities cost_nvpi_fatalities
0.536051461918 6900000 1.88061254621e-08 620193617.794 0.350348594796 5.3927354777e-07 1.25049802144e-08 0.0 138428.461255 0.030128723801 0.177251358739 500 0.683224547377 11.663438987 1602532692.1 18685642.2137 232.251114797 10.250967608 1612278744.61 80477729.0103 0.0 233.663586176 334.454012572 2307732686.75
0.732513759192 6900000 2.17918508651e-08 593952886.665 0.217894550572 5.57178054598e-07 1.19429750149e-08 0.0 104879.62713 0.027221589681 0.229511009725 500 0.646069218098 12.9433327271 1319134164.64 16168341.7706 191.17886444 11.0240953685 1332376902.41 89308995.817 0.0 193.098101799 330.937513915 2283468846.01
0.658995765318 6900000 2.05715276505e-08 626403619.489 0.754865273281 1.25845384209e-07 1.15018374254e-08 0.0 125169.332474 0.045608198687 0.357498436771 500 0.649555639907 12.8860793787 2246676360.12 28569140.7359 325.605269583 9.89373683389 2267323523.68 88913947.713 0.0 328.597612128 78.8300041645 543927028.735
0.319081905801 6900000 1.81487710027e-08 619416617.981 0.203746039992 3.81321287734e-07 1.31134489964e-08 0.0 186450.1188 0.0482845521763 0.223389632613 500 0.787208000305 11.241650355 2692541964.78 29908254.0098 390.223473156 9.26475998211 2706182508.35 77567387.4495 0.0 392.200363529 236.196742412 1629757522.64
0.397983627258 6900000 2.37520652021e-08 593234717.126 0.210266514439 9.91787227117e-07 1.07187480391e-08 0.0 96248.2845951 0.0103693760953 0.181282446829 500 0.525570182279 14.0905496813 445695828.927 6151473.89467 64.5935983952 12.7480493304 454959081.348 97224792.801 0.0 65.9360987461 588.362615128 4059702044.38
0.655939505446 6900000 2.53128196598e-08 630927612.515 0.521302356459 1.70336869663e-07 1.02590147836e-08 0.0 70067.8836908 0.0158111914761 0.274707318783 500 0.742992291597 15.970556874 683661342.06 9975717.28903 99.0813539218 12.7108796508 706153114.901 110196842.431 0.0 102.341031145 107.4702345 741544618.05
0.694312087841 6900000 2.44549428152e-08 607455034.183 0.266699473738 3.66479397301e-07 1.13683365561e-08 0.0 107042.995522 0.0242833655578 0.309063630644 500 0.707948856943 14.8552781238 1134667586.85 14751052.655 164.444577805 11.6049247898 1157095024.86 102501419.054 0.0 167.694931139 222.619754815 1536076308.22
0.483240322952 6900000 1.81465952946e-08 611264177.814 0.601224933484 9.95637376542e-07 1.12609332242e-08 0.0 147691.925838 0.0209299967819 0.279200952573 500 0.547947073148 11.0923636529 982371320.135 12793757.2745 142.372655092 9.39537239026 994080559.85 76537309.205 0.0 144.069646355 608.597462373 4199322490.37
0.322723959209 6900000 2.40681253329e-08 622033590.303 0.202096018533 9.68108486525e-07 1.20123333949e-08 0.0 106864.246027 0.0121899336448 0.28723527185 500 0.583443046159 14.9711824127 611168499.994 7582548.19063 88.5751449266 12.4622304906 628480268.256 103301158.648 0.0 91.0840968487 602.195997676 4155152383.96
0.482309614739 6900000 2.9333361784e-08 610720106.517 0.552455469072 2.53878632264e-07 1.20383782648e-08 0.0 113250.219694 0.0278774026815 0.396252547541 500 0.545999617144 17.9144738332 1387459049.87 17025290.3351 201.081021721 14.0386104327 1414202507.34 123609869.449 0.0 204.956885122 155.048785339 1069836618.84
0.322670176556 6900000 2.63024244495e-08 630423485.928 0.258809080564 7.69429843017e-07 1.25216422641e-08 0.0 144878.275364 0.0440657281926 0.319711975792 500 0.685439273573 16.5816661098 2375106545.13 27780069.9771 344.218339874 12.9479076585 2400179478.44 114413496.158 0.0 347.852098325 485.066643812 3346959842.3
0.535611930839 6900000 2.48180277344e-08 612859766.235 0.425713881762 2.02274826768e-07 1.05290285372e-08 0.0 131254.869171 0.0267748655468 0.382968901466 500 0.724848626094 15.2099706757 1163002793.96 16409237.84 168.551129559 10.9877667438 1192136001.09 104948797.662 0.0 172.773333491 123.966103048 855366111.031
